"DMS_Project"

"Time      "	".A1.Translational_Displacement.Y"	".D1.Translational_Displacement.Y"	".M1.Translational_Displacement.Y"	".O1.Translational_Displacement.Y"	".H7.Translational_Displacement.Y"	".N5.Translational_Displacement.Y"	".C2.Translational_Displacement.Y"	".G2.Translational_Displacement.Y"	".K3.Translational_Displacement.Y"
1.190000e+00	-2.585641e+00	-9.556031e-01	-1.843929e+00	-8.565593e-12	-2.000000e-01	-8.000000e-01	-1.998449e+00	-3.442339e-02	-2.728348e+00
1.200000e+00	-2.571010e+00	-9.428225e-01	-1.834593e+00	-8.095746e-12	-2.000000e-01	-8.000000e-01	-1.985983e+00	-1.901374e-02	-2.700880e+00
1.210000e+00	-2.556123e+00	-9.298722e-01	-1.825087e+00	-7.646772e-12	-2.000000e-01	-8.000000e-01	-1.973300e+00	-3.458650e-03	-2.673104e+00
1.220000e+00	-2.540988e+00	-9.167586e-01	-1.815414e+00	-7.221113e-12	-2.000000e-01	-8.000000e-01	-1.960406e+00	1.222349e-02	-2.645071e+00
1.230000e+00	-2.525610e+00	-9.034882e-01	-1.805578e+00	-6.817213e-12	-2.000000e-01	-8.000000e-01	-1.947305e+00	2.801514e-02	-2.616826e+00
1.240000e+00	-2.509994e+00	-8.900672e-01	-1.795581e+00	-6.436407e-12	-2.000000e-01	-8.000000e-01	-1.934004e+00	4.389958e-02	-2.588413e+00
1.250000e+00	-2.494145e+00	-8.765019e-01	-1.785428e+00	-6.076917e-12	-2.000000e-01	-8.000000e-01	-1.920510e+00	5.986091e-02	-2.559873e+00
1.260000e+00	-2.478071e+00	-8.627986e-01	-1.775121e+00	-5.739187e-12	-2.000000e-01	-8.000000e-01	-1.906829e+00	7.588404e-02	-2.531242e+00
1.270000e+00	-2.461777e+00	-8.489634e-01	-1.764665e+00	-5.421885e-12	-2.000000e-01	-8.000000e-01	-1.892971e+00	9.195463e-02	-2.502556e+00
1.280000e+00	-2.445268e+00	-8.350024e-01	-1.754063e+00	-5.124345e-12	-2.000000e-01	-8.000000e-01	-1.878945e+00	1.080591e-01	-2.473845e+00
1.290000e+00	-2.428551e+00	-8.209216e-01	-1.743319e+00	-4.845679e-12	-2.000000e-01	-8.000000e-01	-1.864760e+00	1.241847e-01	-2.445139e+00
1.300000e+00	-2.411631e+00	-8.067270e-01	-1.732436e+00	-4.585443e-12	-2.000000e-01	-8.000000e-01	-1.850427e+00	1.403191e-01	-2.416463e+00
1.310000e+00	-2.394515e+00	-7.924245e-01	-1.721418e+00	-4.341860e-12	-2.000000e-01	-8.000000e-01	-1.835957e+00	1.564509e-01	-2.387842e+00
1.320000e+00	-2.377208e+00	-7.780200e-01	-1.710270e+00	-4.115597e-12	-2.000000e-01	-8.000000e-01	-1.821360e+00	1.725690e-01	-2.359296e+00
1.330000e+00	-2.359717e+00	-7.635193e-01	-1.698994e+00	-3.903544e-12	-2.000000e-01	-8.000000e-01	-1.806649e+00	1.886630e-01	-2.330847e+00
1.340000e+00	-2.342048e+00	-7.489283e-01	-1.687594e+00	-3.705480e-12	-2.000000e-01	-8.000000e-01	-1.791836e+00	2.047229e-01	-2.302513e+00
1.350000e+00	-2.324208e+00	-7.342526e-01	-1.676076e+00	-3.522294e-12	-2.000000e-01	-8.000000e-01	-1.776932e+00	2.207391e-01	-2.274311e+00
1.360000e+00	-2.306202e+00	-7.194980e-01	-1.664442e+00	-3.351319e-12	-2.000000e-01	-8.000000e-01	-1.761951e+00	2.367022e-01	-2.246257e+00
1.370000e+00	-2.288036e+00	-7.046702e-01	-1.652696e+00	-3.190559e-12	-2.000000e-01	-8.000000e-01	-1.746905e+00	2.526029e-01	-2.218367e+00
1.380000e+00	-2.269718e+00	-6.897748e-01	-1.640843e+00	-3.041789e-12	-2.000000e-01	-8.000000e-01	-1.731805e+00	2.684324e-01	-2.190654e+00
