"DMS_Project"

"Time      "	".A1.Translational_Displacement.X"	".D1.Translational_Displacement.X"	".M1.Translational_Displacement.X"	".O1.Translational_Displacement.X"	".H7.Translational_Displacement.X"	".N5.Translational_Displacement.X"	".C2.Translational_Displacement.X"	".G2.Translational_Displacement.X"	".K3.Translational_Displacement.X"
8.400000e-01	1.905686e+00	1.859677e+00	1.186866e+00	0.000000e+00	4.000000e-01	1.000000e-01	1.905973e+00	1.473576e+00	2.295936e+00
8.500000e-01	1.909488e+00	1.861306e+00	1.189544e+00	-2.220446e-16	4.000000e-01	1.000000e-01	1.917619e+00	1.466361e+00	2.295694e+00
8.600000e-01	1.913907e+00	1.863198e+00	1.192657e+00	-2.220446e-16	4.000000e-01	1.000000e-01	1.929031e+00	1.459876e+00	2.296460e+00
8.700000e-01	1.918933e+00	1.865346e+00	1.196199e+00	0.000000e+00	4.000000e-01	1.000000e-01	1.940170e+00	1.454142e+00	2.298259e+00
8.800000e-01	1.924557e+00	1.867745e+00	1.200161e+00	-4.440892e-16	4.000000e-01	1.000000e-01	1.950996e+00	1.449176e+00	2.301112e+00
8.900000e-01	1.930766e+00	1.870390e+00	1.204537e+00	-2.220446e-16	4.000000e-01	1.000000e-01	1.961474e+00	1.444995e+00	2.305035e+00
9.000000e-01	1.937547e+00	1.873273e+00	1.209317e+00	-2.220446e-16	4.000000e-01	1.000000e-01	1.971569e+00	1.441610e+00	2.310034e+00
9.100000e-01	1.944887e+00	1.876386e+00	1.214492e+00	8.694379e-12	4.000000e-01	1.000000e-01	1.981253e+00	1.439029e+00	2.316114e+00
9.200000e-01	1.952772e+00	1.879724e+00	1.220052e+00	9.801049e-12	4.000000e-01	1.000000e-01	1.990496e+00	1.437259e+00	2.323271e+00
9.300000e-01	1.961187e+00	1.883276e+00	1.225986e+00	1.085132e-11	4.000000e-01	1.000000e-01	1.999277e+00	1.436300e+00	2.331495e+00
9.400000e-01	1.970115e+00	1.887036e+00	1.232285e+00	1.182565e-11	4.000000e-01	1.000000e-01	2.007576e+00	1.436149e+00	2.340773e+00
9.500000e-01	1.979541e+00	1.890994e+00	1.238936e+00	1.270983e-11	4.000000e-01	1.000000e-01	2.015377e+00	1.436801e+00	2.351083e+00
9.600000e-01	1.989447e+00	1.895141e+00	1.245929e+00	1.349187e-11	4.000000e-01	1.000000e-01	2.022670e+00	1.438246e+00	2.362403e+00
9.700000e-01	1.999817e+00	1.899468e+00	1.253250e+00	1.416489e-11	4.000000e-01	1.000000e-01	2.029449e+00	1.440470e+00	2.374703e+00
9.800000e-01	2.010633e+00	1.903966e+00	1.260889e+00	1.472356e-11	4.000000e-01	1.000000e-01	2.035711e+00	1.443456e+00	2.387947e+00
9.900000e-01	2.021877e+00	1.908626e+00	1.268832e+00	1.516653e-11	4.000000e-01	1.000000e-01	2.041457e+00	1.447184e+00	2.402099e+00
1.000000e+00	2.033531e+00	1.913437e+00	1.277068e+00	1.549583e-11	4.000000e-01	1.000000e-01	2.046693e+00	1.451632e+00	2.417115e+00
1.010000e+00	2.045578e+00	1.918391e+00	1.285584e+00	1.571587e-11	4.000000e-01	1.000000e-01	2.051426e+00	1.456774e+00	2.432948e+00
1.020000e+00	2.057998e+00	1.923478e+00	1.294368e+00	1.583178e-11	4.000000e-01	1.000000e-01	2.055669e+00	1.462584e+00	2.449547e+00
1.030000e+00	2.070775e+00	1.928688e+00	1.303407e+00	1.585110e-11	4.000000e-01	1.000000e-01	2.059436e+00	1.469032e+00	2.466858e+00
1.040000e+00	2.083890e+00	1.934013e+00	1.312689e+00	1.578226e-11	4.000000e-01	1.000000e-01	2.062741e+00	1.476088e+00	2.484822e+00
1.050000e+00	2.097326e+00	1.939442e+00	1.322201e+00	1.563438e-11	4.000000e-01	1.000000e-01	2.065604e+00	1.483721e+00	2.503379e+00
1.060000e+00	2.111064e+00	1.944966e+00	1.331932e+00	1.541656e-11	4.000000e-01	1.000000e-01	2.068043e+00	1.491897e+00	2.522464e+00
1.070000e+00	2.125088e+00	1.950578e+00	1.341869e+00	1.513922e-11	4.000000e-01	1.000000e-01	2.070079e+00	1.500585e+00	2.542012e+00
1.080000e+00	2.139379e+00	1.956266e+00	1.352000e+00	1.481104e-11	4.000000e-01	1.000000e-01	2.071734e+00	1.509750e+00	2.561954e+00
1.090000e+00	2.153922e+00	1.962024e+00	1.362314e+00	1.444023e-11	4.000000e-01	1.000000e-01	2.073029e+00	1.519358e+00	2.582222e+00
1.100000e+00	2.168699e+00	1.967841e+00	1.372799e+00	1.403699e-11	4.000000e-01	1.000000e-01	2.073987e+00	1.529377e+00	2.602747e+00
1.110000e+00	2.183693e+00	1.973711e+00	1.383443e+00	1.360756e-11	4.000000e-01	1.000000e-01	2.074631e+00	1.539772e+00	2.623463e+00
1.120000e+00	2.198890e+00	1.979624e+00	1.394237e+00	1.315992e-11	4.000000e-01	1.000000e-01	2.074985e+00	1.550510e+00	2.644303e+00
1.130000e+00	2.214273e+00	1.985572e+00	1.405168e+00	1.269962e-11	4.000000e-01	1.000000e-01	2.075071e+00	1.561557e+00	2.665204e+00
1.140000e+00	2.229827e+00	1.991548e+00	1.416226e+00	1.223244e-11	4.000000e-01	1.000000e-01	2.074915e+00	1.572878e+00	2.686105e+00
1.150000e+00	2.245536e+00	1.997545e+00	1.427401e+00	1.176503e-11	4.000000e-01	1.000000e-01	2.074538e+00	1.584442e+00	2.706952e+00
1.160000e+00	2.261387e+00	2.003554e+00	1.438682e+00	1.129874e-11	4.000000e-01	1.000000e-01	2.073967e+00	1.596215e+00	2.727692e+00
1.170000e+00	2.277365e+00	2.009569e+00	1.450060e+00	1.083977e-11	4.000000e-01	1.000000e-01	2.073223e+00	1.608162e+00	2.748281e+00
1.180000e+00	2.293455e+00	2.015583e+00	1.461524e+00	1.038947e-11	4.000000e-01	1.000000e-01	2.072333e+00	1.620252e+00	2.768678e+00
1.190000e+00	2.309645e+00	2.021589e+00	1.473067e+00	9.950485e-12	4.000000e-01	1.000000e-01	2.071319e+00	1.632452e+00	2.788847e+00
1.200000e+00	2.325921e+00	2.027581e+00	1.484677e+00	9.525492e-12	4.000000e-01	1.000000e-01	2.070207e+00	1.644727e+00	2.808761e+00
1.210000e+00	2.342271e+00	2.033553e+00	1.496348e+00	9.114709e-12	4.000000e-01	1.000000e-01	2.069021e+00	1.657045e+00	2.828394e+00
1.220000e+00	2.358681e+00	2.039498e+00	1.508068e+00	8.721024e-12	4.000000e-01	1.000000e-01	2.067787e+00	1.669374e+00	2.847728e+00
1.230000e+00	2.375141e+00	2.045412e+00	1.519832e+00	8.343326e-12	4.000000e-01	1.000000e-01	2.066529e+00	1.681679e+00	2.866750e+00
1.240000e+00	2.391638e+00	2.051288e+00	1.531629e+00	7.982282e-12	4.000000e-01	1.000000e-01	2.065272e+00	1.693928e+00	2.885450e+00
1.250000e+00	2.408161e+00	2.057120e+00	1.543453e+00	7.639667e-12	4.000000e-01	1.000000e-01	2.064043e+00	1.706087e+00	2.903822e+00
1.260000e+00	2.424698e+00	2.062905e+00	1.555296e+00	7.314149e-12	4.000000e-01	1.000000e-01	2.062866e+00	1.718123e+00	2.921863e+00
1.270000e+00	2.441240e+00	2.068637e+00	1.567149e+00	7.005951e-12	4.000000e-01	1.000000e-01	2.061769e+00	1.730003e+00	2.939575e+00
1.280000e+00	2.457776e+00	2.074312e+00	1.579007e+00	6.714407e-12	4.000000e-01	1.000000e-01	2.060776e+00	1.741694e+00	2.956959e+00
1.290000e+00	2.474296e+00	2.079925e+00	1.590861e+00	6.440182e-12	4.000000e-01	1.000000e-01	2.059915e+00	1.753162e+00	2.974021e+00
1.300000e+00	2.490790e+00	2.085472e+00	1.602706e+00	6.181278e-12	4.000000e-01	1.000000e-01	2.059211e+00	1.764374e+00	2.990767e+00
